title,source_domain,url,publish_date,language,query_used,raw_text,doc_id
Indian spice exporters face stringent EU DG SANTE ethylene oxide screening at ports,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/economy/foreign-trade/indian-spice-exporters-face-stringent-eu-eto-screening/articleshow/109283741.cms,2025-04-14T10:30:00Z,English,"(""APEDA"" OR ""Spices Board"") (export OR exporter OR MSME) (rejection OR testing OR quality) locationci:india","Indian spice exporters, particularly small and medium-sized enterprises (MSMEs), are experiencing severe supply chain disruptions following European Union (EU) Directorate-General for Health and Food Safety (DG SANTE) border alerts regarding ethylene oxide (EtO) contamination. Several consignments of chilli powder, cumin, and cardamom have been detained at Rotterdam and Hamburg ports. The Spices Board of India has mandated pre-shipment sampling and analytical testing at quality evaluation laboratories (QELs), adding between 10 to 14 days to export lead times. Exporters note that the cost of multi-residue pesticide screening and ethylene oxide quantification is eroding profit margins for smaller farmers and aggregators. Furthermore, European buyers are increasingly demanding third-party ISO/IEC 17025 accredited laboratory certificates before releasing payment under Letters of Credit.",RAW-GDELT-001
US FDA import alerts on Indian shrimp consignments over antibiotic residue and salmonella,financialexpress.com,https://www.financialexpress.com/economy/us-fda-import-alerts-on-indian-shrimp-consignments-over-antibiotic-residue/3482910/,2025-05-18T14:15:00Z,English,"(FDA OR RASFF OR ""EUDR"" OR ""DG SANTE"") (rejection OR alert OR ""border control"" OR detained) (India) (seafood OR spice OR rice OR horticulture)","The United States Food and Drug Administration (US FDA) has placed several Indian marine food processing units under Detention Without Physical Examination (DWPE) due to the detection of banned veterinary antibiotic residues, including nitrofuran and chloramphenicol, as well as Salmonella contamination in frozen shrimp shipments. The Marine Products Export Development Authority (MPEDA) has intensified farm-level surveillance and made Pre-Harvest Testing (PHT) mandatory for aquaculture farms in Andhra Pradesh and Gujarat. However, small-scale aquaculture farmers report significant hurdles in accessing accredited testing labs and maintaining digital farm traceability logs required by US importers under the Food Safety Modernization Act (FSMA) Foreign Supplier Verification Programs (FSVP).",RAW-GDELT-002
DGFT ICEGATE portal glitches delay export shipping bill filing for food processors,business-standard.com,https://www.business-standard.com/economy/news/dgft-icegate-portal-glitches-delay-export-shipping-bill-filing-124061200341_1.html,2025-06-12T09:20:00Z,English,"(""Import Export Code"" OR ""IEC"" OR ""DGFT portal"" OR ""RCMC"") (MSME OR ""small exporter"" OR FPO) (spice OR seafood OR shrimp OR rice OR ""processed food"") locationci:india","Agri-food MSME exporters across Maharashtra and Gujarat are facing severe consignment holds at customs ports due to technical glitches between the Directorate General of Foreign Trade (DGFT) server and the Indian Customs Electronic Gateway (ICEGATE). Exporters attempting to generate Electronic Bank Realization Certificates (e-BRC) and file shipping bills report recurring error codes such as E-104 and E-002, stemming from digital signature certificate (DSC) mismatches and AD Code bank validation delays. The Federation of Indian Export Organisations (FIEO) has urged the Ministry of Commerce to resolve the integration bottlenecks, noting that perishable agricultural goods, including fresh mangoes and vegetables, are incurring heavy demurrage charges and cold storage fees at Nhava Sheva and Chennai ports.",RAW-GDELT-003
EUDR deforestation regulations impose severe GPS geotagging burden on Indian coffee and cocoa growers,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agri-business/eudr-deforestation-regulations-impose-severe-gps-geotagging-burden-on-indian-coffee/article68192834.ece,2025-07-02T11:45:00Z,English,"(""EUDR"" OR ""deforestation"" OR ""traceability"" OR ""catch certificate"" OR ""IUU fishing"" OR ""carbon border"") (India OR Indian) (export OR exporter OR MSME)","The upcoming European Union Deforestation Regulation (EUDR) is threatening to lock out thousands of Indian smallholder coffee, cocoa, and spice growers from European markets. Under the statutory mandate, exporters must submit geolocation polygon coordinates (GPS geotagging) for all plots of land where commodities were grown, proving zero deforestation after December 31, 2020. Indian Farmer Producer Organizations (FPOs) and MSME exporters in Karnataka and Kerala lack the digital infrastructure, GIS mapping tools, and financial capital required to audit fragmented smallholder estates. While APEDA and the Coffee Board have initiated pilot projects for blockchain-based traceability, exporters warn that compliance verification costs will render Indian produce uncompetitive against larger corporate plantations in Latin America and Vietnam.",RAW-GDELT-004
Basmati rice exports to European Union hit by strict tricyclazole MRL enforcement,livemint.com,https://www.livemint.com/economy/basmati-rice-exports-to-european-union-hit-by-strict-tricyclazole-mrl-enforcement-11718923481234.html,2025-05-28T08:10:00Z,English,"(""shrimp export"" OR ""spice export"" OR ""basmati export"" OR ""mango export"") (rejection OR customs OR border OR ""import alert"" OR ""pesticide residue"") India","Indian Basmati rice exporters are witnessing a sharp drop in European Union shipments following the European Commission's refusal to raise the Maximum Residue Limit (MRL) for tricyclazole, a fungicide commonly used by paddy farmers to control blast disease. The EU enforces an import tolerance of 0.01 mg/kg (default limit of analytical quantification), effectively acting as a zero-tolerance barrier. Exporters from Punjab and Haryana state that despite advisory campaigns by APEDA to shift farmers toward alternative molecules like azoxystrobin and isoprothiolane, cross-contamination during milling and contract farming enforcement remain major hurdles. Consignments failing pre-shipment laboratory assays are being diverted to Middle Eastern markets at discounted rates.",RAW-GDELT-005
RoDTEP scheme reimbursement delays and tax audit scrutiny create working capital crunch for MSMEs,financialexpress.com,https://www.financialexpress.com/industry/sme/rodtep-scheme-reimbursement-delays-and-tax-audit-scrutiny-create-working-capital-crunch/3412890/,2025-06-05T16:20:00Z,English,"(RoDTEP OR ""export duty"" OR ""customs clearance"" OR ""shipping bill"") (MSME OR exporter) (delay OR error OR stopped OR rejected) locationci:india","Small and medium agricultural exporters are facing severe working capital shortages due to delays in the issuance of electronic scrips under the Remission of Duties and Taxes on Exported Products (RoDTEP) scheme. Exporters report that customs portals frequently freeze scrip generation during departmental audits and verification of Foreign Exchange Management Act (FEMA) realization records. Furthermore, the rebate rates for value-added processed food products and marine items are considered insufficient to offset embedded municipal taxes, electricity duties, and transport fuel levies. MSME industry bodies have petitioned the Ministry of Finance and DGFT for an automated, paperless claim settlement mechanism to prevent export liquidity bottlenecks.",RAW-GDELT-006
Mandatory APEDA RCMC linking with IEC code triggers portal login failures for new agri-exporters,economictimes.indiatimes.com,https://economictimes.indiatimes.com/small-biz/trade/exports/insights/mandatory-apeda-rcmc-linking-with-iec-code-triggers-portal-login-failures/articleshow/108923412.cms,2025-03-22T12:00:00Z,English,"(""Import Export Code"" OR ""IEC"" OR ""DGFT portal"" OR ""RCMC"") (MSME OR ""small exporter"" OR FPO) (spice OR seafood OR shrimp OR rice OR ""processed food"") locationci:india","Newly registered agricultural start-ups and Farmer Producer Organizations (FPOs) attempting to export fresh fruits and vegetables are encountering severe digital onboarding hurdles. Recent statutory directives requiring seamless electronic integration between the APEDA Registration-cum-Membership Certificate (RCMC) and the DGFT Importer-Exporter Code (IEC) database have resulted in widespread authentication mismatches. When exporters modify their corporate address or director details on the DGFT portal, the APEDA TraceNet and HortiNet systems frequently fail to synchronize in real-time, blocking the issuance of mandatory phytosanitary certificates and Certificate of Origin (CoO) applications at inspection agencies.",RAW-GDELT-007
US FDA FSVP audit compliance creates prohibitive cost barrier for Indian organic food exporters,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/agri-business/us-fda-fsvp-audit-compliance-creates-prohibitive-cost-barrier-for-indian-organic/article68012345.ece,2025-04-30T09:15:00Z,English,"(FDA OR RASFF OR ""EUDR"" OR ""DG SANTE"") (rejection OR alert OR ""border control"" OR detained) (India) (seafood OR spice OR rice OR horticulture)","Indian organic food manufacturers exporting to the United States are facing mounting compliance costs under the FDA's Foreign Supplier Verification Programs (FSVP). US importers are requiring Indian MSME suppliers to undergo rigorous third-party food safety audits, hazard analyses, and microbial risk assessments. For smallholder organic cooperatives certified under India's National Programme for Organic Production (NPOP), hiring US-recognized preventive controls qualified individuals (PCQI) and maintaining bilingual HACCP documentation costs upwards of $15,000 annually. Exporters argue that these technical barriers to trade (TBT) disproportionately disadvantage small agribusinesses compared to multinational food conglomerates.",RAW-GDELT-008
EU IUU fishing catch certificate rules delay Indian marine product clearances in Spanish and Italian ports,business-standard.com,https://www.business-standard.com/industry/news/eu-iuu-fishing-catch-certificate-rules-delay-indian-marine-product-clearances-124051800234_1.html,2025-05-22T15:40:00Z,English,"(""EUDR"" OR ""deforestation"" OR ""traceability"" OR ""catch certificate"" OR ""IUU fishing"" OR ""carbon border"") (India OR Indian) (export OR exporter OR MSME)","Seafood shipments originating from Indian processing plants in Kerala and Tamil Nadu are experiencing prolonged border holds at major European ports, including Vigo and Genoa, due to stringent scrutiny of Illegal, Unreported, and Unregulated (IUU) fishing catch certificates. European port authorities are cross-verifying vessel logbooks, landing declarations, and MPEDA fishing vessel registration numbers against satellite vessel monitoring system (VMS) data. Minor clerical discrepancies in vessel ownership names or gear specifications on the Export Inspection Council (EIC) health certificate result in immediate consignment detention, exposing Indian marine exporters to severe contractual penalties and container demurrage costs.",RAW-GDELT-009
Spices Board enforces mandatory sampling and testing for ethylene oxide and pesticide residues in EU exports,livemint.com,https://www.livemint.com/news/india/spices-board-enforces-mandatory-sampling-and-testing-for-ethylene-oxide-and-pesticide-residues-in-eu-exports-11714567890123.html,2025-04-10T11:00:00Z,English,"(""APEDA"" OR ""Spices Board"" OR ""MPEDA"" OR ""EIC"" OR ""FSSAI"") (export OR exporter OR MSME) (rejection OR consignment OR delay OR testing OR quality)","In response to repeated Rapid Alert System for Food and Feed (RASFF) notifications from European member states, the Spices Board of India has instituted mandatory pre-shipment analytical screening for all spice consignments destined for the European Union. Under the revised guidelines, exporters of black pepper, turmeric, chilli, and cumin must submit representative batch samples to Spices Board Quality Evaluation Laboratories for testing against over 400 pesticide residue parameters and ethylene oxide (EtO). Industry representatives from the All India Spices Exporters Forum note that while the measure is crucial to safeguard brand reputation, laboratory congestion and lack of testing infrastructure in regional spice hubs like Unjha and Guntur are causing dispatch delays of up to three weeks.",RAW-GDELT-010
