Topic,Count,Confidence,Top_Keywords,Institutional_Pillar_Dominant,Locus_Bucket_Dominant,Logic_Bucket_Dominant,Digital_System_Flag_Yes_Pct,Corpus_Tier_Mix,Primary_RQ,Secondary_RQ,Notes
-1,82,N/A - Outlier class,"export, trade, india, rice, said, exports, apeda, beer, indias, cent","Practitioner & Media Discourse (60/82, 73%)","Cross-Cutting & Institutional Governance (49/82, 60%)","Trade Discourse & Practitioner Experience (77/82, 94%)",4.9%,"B=60, A=22",N/A,N/A,"HDBSCAN outlier/noise class, not a topic. Heterogeneous residual documents that didn't meet min_cluster_size=8 with any other document. Do not interpret as a substantive cluster."
0,100,High,"supply, chain, al, supply chain, et, data, food, management, journal, research","Academic & Strategic Research Pool (68/100, 68%)","Cross-Cutting & Institutional Governance (100/100, 100%)","Trade Discourse & Practitioner Experience (97/100, 97%) -- see note",1.0%,"A=99, B=1",RQ3 (digital traceability/compliance automation),RQ4 (sustainability/circular economy),"Peer-reviewed literature (journals: Sustainable Production and Consumption, Frontiers in Sust. Food Systems, J. Purchasing & Supply Mgmt) on digital-technology barriers in food supply chains, blockchain/IoT traceability, modern-slavery monitoring tech, AFSC resilience. Genuinely coherent academic topic, but locus_bucket/logic_bucket labels are near-meaningless here (100% default fallback) because academic papers don't carry locus_tag/verification_logic metadata the way institutional circulars do -- treat those two columns as uninformative for this topic specifically."
1,96,High,"eu, mpeda, export, products, ex, aquaculture, official, spices, inspection, regulation","Spices Board of India (19/96, 20%) -- mixed, see notes","Cross-Cutting & Institutional Governance (57/96, 59%)","Laboratory Testing & Residue Assays (33/96, 34%)",13.5%,"A=87, B=9",RQ2 (bilateral export friction / SPS-TBT),"RQ1 (domestic institutional implementers: EIC, Spices Board, MPEDA)","Reads as the core RQ2 topic: EIC consignment-wise spice inspection protocol for EU (Reg. 2019/1793), EU DG SANTE aquaculture residue-monitoring audit, RASFF notifications, MRLs for ETO/aflatoxin/chloramphenicol. This is the clearest institutional_pillar-Spices Board/EIC + logic=Laboratory Testing cluster in the corpus -- strong candidate for the spices-residue and marine-catch verification-logic cells in your original framework."
2,41,High,"author, user, sir, iec, hurdles, comment, practitioner, discourse, details, code","Practitioner & Media Discourse (41/41, 100%)","Cross-Cutting & Institutional Governance (26/41, 63%)","Trade Discourse & Practitioner Experience (41/41, 100%)",34.1%,B=41 (100% YouTube),"RQ3 (digital compliance automation, practitioner-lived friction)",N/A,"100% YouTube video descriptions + de-identified comment threads on DGFT IEC portal / APEDA registration tutorials. Genuine, coherent 'lived hurdles' cluster: pin-code fields, GST sync failures, DSC/OTP issues, director-detail update failures. Highest digital_system_flag rate of any substantive topic -- this is your best single source for RQ3's practitioner-experience angle on digital export-system friction."
3,33,High (but scope caveat),"tea, nepal, said, india, indian, cardamom, export, percent, exports, crore","Practitioner & Media Discourse (33/33, 100%)","Cross-Cutting & Institutional Governance (27/33, 82%)","Trade Discourse & Practitioner Experience (33/33, 100%)",6.1%,B=33 (100% GDELT news),"RQ1 (India's own institutional testing regime, Tea Board of India)",RQ2-adjacent,"CAVEAT: India imposing mandatory lab testing on Nepali tea imports at the land border. This is a genuine non-tariff-barrier dynamic, but the counterpart is Nepal, which is NOT one of RQ2's named bilateral partners (EU DG SANTE / US FDA-NOAA / Japan MHLW). Reads more naturally as India's own testing-regime institutional behavior (RQ1) manifesting outward, or as a boundary case suggesting RQ2's scope could be broadened. Flagging rather than force-fitting."
4,26,High,"export, agricultural, mangoes, apeda, district, said, processed food, food products, processed, products","Practitioner & Media Discourse (26/26, 100%)","Horticulture, Cereals & Organic (21/26, 81%)","Trade Discourse & Practitioner Experience (26/26, 100%)",0.0%,B=26 (100% GDELT news),RQ1 (APEDA institutional facilitation),"RQ4 (MSME/women-farmer empowerment, CSR-adjacent)","APEDA-facilitated mango export success stories (Jharkhand tribal-women FPCs to Dubai, Banganapalle mangoes to Singapore). Positive-news-release pattern -- useful for RQ1 institutional-convergence narrative and touches RQ4's MSME/inclusion angle, but skews toward promotional/announcement framing rather than barrier-identification."
5,24,High (but scope caveat),"rice, tonnes, cotton, said, lakh, comments, government, industry, exports, basmati","Practitioner & Media Discourse (23/24, 96%)","Horticulture, Cereals & Organic (22/24, 92%)","Trade Discourse & Practitioner Experience (24/24, 100%)",0.0%,"B=23, A=1",RQ1 (rice-industry infrastructure/licensing),RQ2-adjacent (China GM-rice import restriction),"Domestic rice-industry infrastructure demands (single-window clearance, Rice Industry Development Board) plus a China GM-contamination rice-import barrier thread. Same scope caveat as Topic 3: China isn't a named RQ2 counterpart. Strong rice-baseline verification-logic candidate for your 5x4 grid regardless of RQ label."
6,19,High,"apeda, products, profile, organic, download, cereals, fruits, processed, india, pdf download","APEDA (Agricultural & Processed Food Authority) (18/19, 95%)","Horticulture, Cereals & Organic (13/19, 68%)","Facility Audit & Hygiene Standards (14/19, 74%)",36.8%,A=19 (100% Corpus A),RQ1 (APEDA/NPOP domestic governance),RQ2 (EU/Switzerland organic-equivalence recognition),"APEDA product-catalog and NPOP organic-certification pages. Clean, coherent, 100% Corpus A institutional topic. The EU/Switzerland equivalence-recognition mechanism for NPOP-certified organic products is a genuine RQ2 touchpoint worth citing."
7,18,High,"fisheries, seafood, exports, minister, value, value addition, shrimp, indias, global, andhra","Practitioner & Media Discourse (18/18, 100%)","Marine & Aquaculture (18/18, 100%)","Trade Discourse & Practitioner Experience (18/18, 100%)",0.0%,B=18 (100% GDELT news),RQ1 (MPEDA/Ministry institutional narrative),RQ2 (FTA market access),"Ministerial 'Blue Economy' / value-addition speeches (Piyush Goyal, Andhra Pradesh CM, Fisheries Minister) at a seafood-export workshop. Clean marine-catch verification-logic candidate for the grid; skews toward policy-rhetoric rather than firm-level barrier evidence."
8,16,LOW -- residual noise cluster,"apeda, products, profile, organic, download, cereals, fruits, processed, india, pdf download (keyword extraction likely distorted, see notes)","Practitioner & Media Discourse (16/16, 100%)","Cross-Cutting & Institutional Governance (11/16, 69%)","Trade Discourse & Practitioner Experience (16/16, 100%)",6.2%,B=16 (100% GDELT),DO NOT USE,DO NOT USE,"NEW FINDING (surfaced while building this table, not previously flagged): 4/16 units are thehindubusinessline.com comment-policy footer boilerplate ('Comments have to be in English... Institutional Subscriber'); the other 12/16 are a grab-bag of unrelated trailing article fragments (vape seizures, WHA news, Sri Lanka economy, award-nominee blurbs) with no shared subject matter. This is thin/trailing-chunk noise clustering by shape, not theme -- same underlying issue as the GDELT tail-noise fixed earlier, just a milder, previously-uncaught instance from a different source site. Recommend excluding from RQ interpretation; optionally worth a follow-up cleanup pass if you want it gone from future re-fits."
9,16,"LOW-MEDIUM -- partially noise, partial genuine signal","ting, sustainability, ar, inf, mation, directive, assurance, ed, taking, standards (fragmented -- see notes)","Practitioner & Media Discourse (16/16, 100%)","Cross-Cutting & Institutional Governance (9/16, 56%)","Trade Discourse & Practitioner Experience (16/16, 100%)",25.0%,B=16 (100% GDELT),RQ1/RQ2 (Spices Board-EU FTA commentary) -- LOW CONFIDENCE,N/A,"NEW FINDING: 5/16 units carry a 'Yogi govt / Aamir Khan / Motorola Unveils' trending-news-widget tail (unrelated site clutter); 2/16 show mojibake encoding corruption (raw 'â€' byte-sequence artifacts, e.g. 'Indiaâ€""European Union'), which explains the fragmented topic keywords ('ting', 'inf', 'mation' are split pieces of corrupted words, not real tokens). The genuine remainder does contain real signal -- an AYUSHEXCIL-Spices Board EU-FTA MoU and Spices Board commentary on EU market access -- but it's a minority of the topic. Recommend manual review of individual units before citing this topic in any RQ2 conclusion; do not treat the auto-generated topic name or keyword list as reliable here."
10,16,High (despite misleading auto-generated name),"news, comments, highest, india, business, doing business, doing, english, click, new -- NOTE: does not match actual dominant content, see notes","EU DG SANTE / European Commission (15/16, 94%)","Cross-Cutting & Institutional Governance (16/16, 100%)","Trade Discourse & Practitioner Experience (15/16, 94%)",0.0%,A=16 (100% Corpus A),RQ4 (sustainability/due diligence regime),N/A,"The actual document content is EU Directive 2013/34/EU sustainability-reporting/assurance legal text (CSRD-adjacent -- audit committee duties, EFRAG standard-setting, assurance engagements). The auto-generated topic name and top-10 keyword list are misleading here (likely pulled from a small number of off-theme documents in the c-TF-IDF weighting) -- go by the institutional_pillar/content read, not the BERTopic label, when writing this one up."
