decision_id,decision_date,decision_type,subject_doc_id_or_source,rationale_and_context,impacted_locus_or_logic,logged_by
DEC-2026-001,2026-07-01,protocol-override,"NIC Government Portals (APEDA, MPEDA, EIC, FSSAI, DGFT)",Indian government portals hosted on National Informatics Centre (NIC) infrastructure frequently deploy legacy or non-standard SSL certificate chains causing Python urllib/requests ssl.SSLCertVerificationError. Enforced automated SSL verification relaxation (ssl.CERT_NONE) across read-only scrapers to ensure unhindered institutional data retrieval without endpoint URL spoofing.,automated-http-scraping-engine,Antigravity Automated Scraper Pipeline
DEC-2026-002,2026-07-01,dqa-admission-threshold,CorpusA Global Admittance Rules,"Established strict Data Quality Assessment (DQA) 6-dimension scoring matrix (Authority, Relevance, Granularity, Currency, Completeness, Machine Readability). Mandated that documents below 300 words in narrative length or returning dynamic JavaScript loading shells/search forms be rejected as Inadequate (I) and moved to exceptions_log.csv.",dqa-content-and-context-scoring,Lead Research Methodology Panel
DEC-2026-003,2026-07-02,academic-transparency-section-6-1,EUR-Lex & Dynamic Government Portals,"To strictly satisfy Section 6.1 of the research protocol, established binary distinction between direct verbatim PDF downloads (full_text_available: yes) and structured regulatory orientation summaries generated when portals block automated bots via HTTP 403 or redirect wrappers. Mandated explicit disclosure prefix in production_context and full_text_available column.",master-registry-schema-integrity,Lead Research Methodology Panel
DEC-2026-004,2026-07-02,pdf-magic-header-verification,All Scraped Binary PDF Targets,Automated web scrapers frequently download HTML session login/redirect shells under .pdf filenames when server sessions expire. Implemented mandatory inspection of first 5 bytes (b'%PDF-'); rejected non-conforming payloads to prevent corrupted PDF artifacts in CorpusA.,binary-file-integrity-engine,Antigravity Automated Scraper Pipeline
DEC-2026-005,2026-07-02,pillar-1-apeda-scope-expansion,APEDA Pillar (A-APEDA-001 to 010),"Expanded APEDA institutional archive beyond basic organic rules to capture 8 distinct export governance circulars covering NPOP equivalence, TraceNet farm geotagging, packhouse recognition, and sector-specific export protocols for cereals, fresh fruits, animal products, and floriculture.",apeda-traceability-and-organic-locus,Lead Research Methodology Panel
DEC-2026-006,2026-07-02,pillar-2-spices-sps-alignment,Spices Board Pillar (A-SPICE-001 to 008),"Integrated destination-specific SPS mandatory testing regimes into Spices Board archive, specifically incorporating USA mandatory Salmonella sampling (chilli/cumin), UK Official Certificate requirement (w.e.f. Jan 2026), and EU pesticide residue monitoring mechanism.",sps-pathogen-and-mrl-verification,Lead Research Methodology Panel
DEC-2026-007,2026-07-02,pillar-3-mpeda-iuu-catch-certificate,MPEDA Pillar (A-MPEDA-001 to 008),"Incorporated critical international marine compliance protocols into MPEDA archive: EU Catch Certificate Standard Operating Procedures (combating IUU fishing), US NOAA Form DS-2031 Shrimp Exporter Declaration (TED turtle excluder compliance), and Pre-Harvest Test (PHT) antibiotic residue screening.",marine-iuu-and-antibiotic-locus,Lead Research Methodology Panel
DEC-2026-008,2026-07-02,pillar-4-eic-statutory-powers,Export Inspection Council (A-EIC-001 to 005),"Dedicated institutional pillar to EIC as the statutory export certification body under Export (Quality Control and Inspection) Act, 1963. Captured consignment-wise inspection schemes for spices, marine health certification, ISO/IEC 17025 laboratory recognition, and Approved Technologist IPQC self-certification.",statutory-pre-shipment-certification,Lead Research Methodology Panel
DEC-2026-009,2026-07-03,pillar-5-fssai-export-interface,FSSAI Pillar (A-FSSAI-001 to 005),"Addressed domestic food safety licensing intersection with export processing units. Captured Schedule 4 HACCP hygiene mandates, statutory recognition of GFSI/FSSC 22000 third-party auditing agencies, FoSCoS licensing for 100% Export Oriented Units (EOUs), and inter-agency cooperation frameworks.",domestic-export-licensing-convergence,Lead Research Methodology Panel
DEC-2026-010,2026-07-03,pillar-6-dgft-trade-portal-integration,DGFT & India Trade Portal (A-DGFT-001 to 005),"Linked Foreign Trade Policy (FTP 2023) Chapter 2 IEC mandates with ICEGATE customs shipping bill interception, electronic Certificate of Origin (e-CoO) digital signing, Quality Control Orders (QCOs), and RoDTEP duty remission mechanisms for food processors.",exim-licensing-and-duty-remission,Lead Research Methodology Panel
