firm_name,date_published,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant,register_consulted,lookup_date
A. B. INDUSTRIES,09/16/2009,False,False,False,,Not Verified,
AABHAR INTERNATIONAL,09/16/2009,False,False,False,,Not Verified,
AAKASH GLOBAL FOODS PVT.LTD.,01/08/2013,False,False,False,,Not Verified,
ABHAYA EXPORTS (PVT) LTD.,01/26/2024,False,False,False,,Not Verified,
ABHAYA EXPORTS PVT. LTD.,09/07/2016,False,False,False,,Not Verified,
ADANI FOOD PRODUCTS PVT LTD,10/02/2009,False,False,False,,Not Verified,
ADARSH GLOBAL LIMITED,09/16/2009,False,False,False,,Not Verified,
ADF Foods Limited,09/16/2009,False,False,False,,Not Verified,
AG EXPORTS,09/16/2009,False,False,False,,Not Verified,
AGRONIC FOOD PVT. LTD,03/13/2019,False,False,False,,Not Verified,
AKSHAR IMPEX,01/08/2021,False,False,False,,Not Verified,
AMBE NS Agro Products Pvt Ltd,05/18/2026,False,False,False,,Not Verified,
ASIAN FOOD INDUSTRIES,09/16/2009,False,False,False,,Not Verified,
Abhaya Exports Pvt. Ltd.,07/22/2015,False,False,False,,Not Verified,
Amira Tanna Industries Private Limited,12/07/2010,False,False,False,,Not Verified,
Ancient Greenfields,05/13/2016,False,False,False,,Not Verified,
Anil & Company,09/16/2009,False,False,False,,Not Verified,
Anil & Company,10/19/2016,False,False,False,,Not Verified,
Anna Aluminium Company Pvt Ltd (Spices Division),10/31/2013,False,False,False,,Not Verified,
Arise Exports Pvt Ltd,09/16/2009,False,False,False,,Not Verified,
Aryan Food Ingredients Limited,04/03/2026,False,False,False,,Not Verified,
Atlantic Foods India Private Limited,09/16/2009,False,False,False,,Not Verified,
Authentic Overseas,07/01/2019,False,False,False,,Not Verified,
Avtar Singh & Co Private Ltd (Factory),09/16/2009,False,False,False,,Not Verified,
Avtar Singh & Co Pvt Ltd (Office),09/16/2009,False,False,False,,Not Verified,
B.C. Exports,09/16/2009,False,False,False,,Not Verified,
BADSHAH MASALA PRIVATE LIMITED,10/22/2024,False,False,False,,Not Verified,
BHRIGU FOODS LLP,02/12/2024,False,False,False,,Not Verified,
BIKAJI FOODS INTERNATIONAL LIMITED,06/27/2022,False,False,False,,Not Verified,
BIKANERVALA FOODS P LTD,02/02/2012,False,False,False,,Not Verified,
BIKANERVALA FOODS PVT. LTD.,07/31/2017,False,False,False,,Not Verified,
BVeg Foods Pvt. Ltd.,12/30/2024,False,False,False,,Not Verified,
Bafna Enterprises,04/20/2011,False,False,False,,Not Verified,
