Topic,Words,Frequency,Class
0,"commodities, eu, geolocation, operators, diligence",1,Traceability & Digital Geotagging
1,"export, eu, certificate, mandatory, food",7,Traceability & Digital Geotagging
6,"apeda, tracenet, fda, apeda tracenet, eu",4,Traceability & Digital Geotagging
-1,"mpeda, scheme, sector scheme, central sector, export",17,Trade Discourse & Practitioner Experience
0,"supply, chain, al, supply chain, et",97,Trade Discourse & Practitioner Experience
1,"eu, residue, products, aquaculture, substances",11,Trade Discourse & Practitioner Experience
2,"author, user, sir, iec, comment",41,Trade Discourse & Practitioner Experience
5,"rice, lebanon, imported rice, residues, eu regulations",1,Trade Discourse & Practitioner Experience
10,"ting, sustainability, ar, inf, mation",15,Trade Discourse & Practitioner Experience
12,"value, usd, volume, exports, 152",1,Trade Discourse & Practitioner Experience
-1,"india, exports, said, export, trade",60,Destination Border Controls & Refusals
1,"nutmeg, eu, products, european, regulation",15,Destination Border Controls & Refusals
3,"tea, nepal, said, india, indian",33,Destination Border Controls & Refusals
4,"export, mangoes, agricultural, apeda, district",26,Destination Border Controls & Refusals
5,"rice, tonnes, said, million, industry",23,Destination Border Controls & Refusals
7,"fisheries, seafood, exports, minister, value",18,Destination Border Controls & Refusals
8,"comments, news, india, english, highest",16,Destination Border Controls & Refusals
9,"yogi, millet, indias, opportunities, minister",16,Destination Border Controls & Refusals
12,"value, cent, volume, exports, export",9,Destination Border Controls & Refusals
-1,"pdf download, format pdf, pdf, format, download",3,Facility Audit & Hygiene Standards
0,"corporate, csr, supply, diligence, schedule vii",2,Facility Audit & Hygiene Standards
1,"eu, export, inspection, act, aquaculture",30,Facility Audit & Hygiene Standards
6,"apeda, products, organic, profile, fruits",14,Facility Audit & Hygiene Standards
10,"csr, 135, form, companies, statutory",1,Facility Audit & Hygiene Standards
11,"shall, food, meat, storage, water",12,Facility Audit & Hygiene Standards
-1,"pdf download, format pdf, pdf, format, download",2,Laboratory Testing & Residue Assays
1,"ex, 2008, 97, spices, eu",33,Laboratory Testing & Residue Assays
6,"cereals, million tonnes, million, tonnes, maize",1,Laboratory Testing & Residue Assays
