Topic,Words,Frequency,Class
-1,"seafood, exports, cent, export, indias",6,Marine & Aquaculture
1,"eu, european, aquaculture, products, shrimp",19,Marine & Aquaculture
2,"author, user, iec, hurdles, comment",5,Marine & Aquaculture
7,"fisheries, seafood, exports, minister, value",18,Marine & Aquaculture
8,"comments, climate stress, english, conditionsinstitutional, terms conditionsinstitutional",1,Marine & Aquaculture
9,"yogi, minister, effectively leveraging, fan, sorted",1,Marine & Aquaculture
12,"value, cent, volume, exports, export",9,Marine & Aquaculture
-1,"pdf download, format pdf, pdf, format, download",14,"Horticulture, Cereals & Organic"
2,"author, user, sir, ke, ka",10,"Horticulture, Cereals & Organic"
4,"export, mangoes, district, agricultural, apeda",21,"Horticulture, Cereals & Organic"
5,"rice, tonnes, said, million, industry",22,"Horticulture, Cereals & Organic"
6,"apeda, organic, products, cereals, fruits",13,"Horticulture, Cereals & Organic"
8,"comments, english, expert, panel, selection",1,"Horticulture, Cereals & Organic"
9,"region, tribal, yogi, millet, opportunities",3,"Horticulture, Cereals & Organic"
-1,"mpeda, export, india, said, beer",49,Cross-Cutting & Institutional Governance
0,"supply, chain, al, supply chain, et",100,Cross-Cutting & Institutional Governance
1,"eu, export, products, inspection, spices",57,Cross-Cutting & Institutional Governance
2,"author, user, sir, iec, details",26,Cross-Cutting & Institutional Governance
3,"tea, nepal, said, indian, india",27,Cross-Cutting & Institutional Governance
4,"export, agricultural, apeda, processed food, food products",5,Cross-Cutting & Institutional Governance
5,"cotton, textile, comments, rice, textile value",1,Cross-Cutting & Institutional Governance
6,"profile, apeda, products, processed, meat",6,Cross-Cutting & Institutional Governance
8,"news, highest, comments, india, english",11,Cross-Cutting & Institutional Governance
9,"indias, millet, opportunities, shrestha, businesses",9,Cross-Cutting & Institutional Governance
10,"ting, sustainability, ar, inf, mation",16,Cross-Cutting & Institutional Governance
11,"shall, food, meat, storage, water",12,Cross-Cutting & Institutional Governance
12,"value, usd, volume, exports, 152",1,Cross-Cutting & Institutional Governance
-1,"spices, company, growth, india, spice",13,Spices & Botanical Herbs
1,"ex, 2008, 97, 19, spices",20,Spices & Botanical Herbs
3,"cardamom, nepal, tea, percent, report",6,Spices & Botanical Herbs
5,"rice, realisation, enjoys, fiscal, basmati",1,Spices & Botanical Herbs
8,"live, download, india, comments, 2026",3,Spices & Botanical Herbs
9,"yogi, minister, spices, india, indias",3,Spices & Botanical Herbs
