locus_primary,verification_logic,unit_count,distinct_parent_docs
inductive-other,catch-legality-aquaculture,6,4
inductive-other,facility-and-process,5,2
inductive-other,land-use-geolocation,1,1
inductive-other,not-applicable,142,73
inductive-other,residue-and-mrl,18,12
informational-verifiability,land-use-geolocation,30,5
informational-verifiability,not-applicable,8,4
institutional-voids,catch-legality-aquaculture,25,21
institutional-voids,facility-and-process,14,13
institutional-voids,land-use-geolocation,1,1
institutional-voids,not-applicable,31,22
institutional-voids,residue-and-mrl,19,16
internal-capability,catch-legality-aquaculture,1,1
internal-capability,facility-and-process,11,1
