doc_id,title,source_domain,url,publish_date,language,query_used,raw_text,firm_mentioned,iec_verification_status,verification_method,verification_date,enterprise_scale_tier,relevance_to_study
B-GD-001,India Blue Economy emerging as powerful engine of growth : Piyush Goyal,prokerala.com,https://www.prokerala.com/news/articles/a1770827.html,20260603T104500Z,English,India export shrimp,"New Delhi, June 3 : India's Blue Economy is emerging as a powerful engine of growth, driven by expanding seafood exports and rising global demand for Indian marine products, Union Commerce and Industry Minister Piyush Goyal said on Wednesday.

The minister said India's fisherfolk are benefiting from wider market access and growing export opportunities, with seafood exports touching an all-time high during FY 2025-26.

Highlighting the sector's rapid growth, Goyal said seafood exports have recorded a nearly 145 per cent jump since FY 2013-14.

""Our fisherfolk are benefiting from expanded markets and rising exports, with seafood exports reaching an all-time high in FY 2025-26. With nearly 145 per cent jump in exports since FY 2013-14, India's Blue Economy is emerging as a powerful engine of growth,"" the minister said.

Meanwhile, India's seafood exports touched an all-time high in both volume and value during 2025-26, underlining the sector's resilience amid uncertain global trade conditions and strengthening the country's position as a major supplier to international markets.

India exported 19.72 lakh metric tonnes of seafood during the fiscal year, valued at Rs 73,890 crore ($8.46 billion), the highest ever achieved by the sector, the Marine Products Export Development Authority (MPEDA) said on June 1.

Announcing the figures, MPEDA Chairman P. Jawahar said the record performance was achieved despite multiple global challenges, including volatile demand patterns and market uncertainties.

Frozen shrimp continued to dominate India's seafood export basket, accounting for more than two-thirds of total export earnings.

Shrimp exports generated Rs 49,038 crore ($5.62 billion), contributing 66.5 per cent of total foreign exchange earnings from seafood exports.

Export volumes of frozen shrimp rose to 7.93 lakh metric tonnes, with the United States remaining the largest buyer, followed by China and the European Union.

The United States retained its position as India's largest seafood market by value, importing seafood worth $2.33 billion.

However, exports to the US registered a decline in value and volume compared with the previous year, reflecting changing market dynamics and pricing pressures.

Chief Minister Yogi to launch 'Mukhyamantri Shikshak Cashless Chikitsa Suvidha Yojana' from Varanasi on Wednesday

Riddhima Kapoor Sahni wishes 'her heart' Neetu Kapoor on her 68th birthday with glimpses of lifetime memories

Moderate rain likely over TN's Western Ghat districts for next two days: IMD

Motorola Unveils Moto g77 Power in India - Packs 7000 mAh Battery, Sony LYTIA 600 Camera

Sylvester Stallone reflects on 'Rocky': Wasn't just writing about one fighter

Yogi Government adopting advanced technology to curb crime, providing training to officials",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-002,Seafood exports up 11 . 2 % in 2025 - 26,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/economy/foreign-trade/seafood-exports-up-11-2-in-2025-26/articleshow/130423199.cms,20260421T183000Z,English,India export shrimp,"India’s seafood exports rose 11.2% to $8.28 billion in 2025–26, driven by strong demand from China, the EU and Southeast Asia. Frozen shrimp led earnings. Despite a decline in US shipments, gains in alternative markets offset losses. Export volumes hit 19.32 lakh tonnes, with key ports handling most shipments.

Listen to this article in summarized format

Unlock AI Briefing and Premium Content

How data-fogged MCA annual report fails to mirror India Inc’s health

NSE, Jio mega IPOs: Why size doesn’t matter, valuations do

What will the NSE IPO price be? Unlisted market deals offer clues.

Akasa aims to be a 226-aircraft airline by 2032, IPO in 2-4 years

Indian economy: The confluence case

Stock Radar: Oberoi Realty breaks out of inverse head & shoulder pattern; time to buy?

Choose your reason below and click on the Report button. This will alert our moderators to take action

Your Reason has been Reported to the admin.

Stories you might be interested in",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-003,"India Seafood Exports Surpass Rs 72 , 000 Crore in FY26",newkerala.com,https://www.newkerala.com/news/a/seafood-exports-surpass-rs-72000-crore-fy26-frozen-255.htm,20260422T211500Z,English,India export shrimp,"India's seafood exports achieved a historic high of Rs 72,325.82 crore in the last financial year, with volumes reaching 19.32 lakh metric tonnes. Frozen shrimp was the dominant contributor, making up over two-thirds of the total export earnings. While the United States remained the largest destination, exports declined there but were offset by significant growth in markets like China, the EU, and Southeast Asia. The government is implementing measures to modernize the fisheries value chain and further expand exports.

India's seafood exports surged to a record Rs 72,325.82 crore in FY26, with volumes reaching 19.32 lakh metric tonnes, according to provisional data released by the Marine Products Export Development Authority.

Frozen shrimp remained the primary growth driver, contributing Rs 47,973.13 crore ($5.51 billion), accounting for over two-thirds of total export earnings.

Shipments of shrimp grew 4.6 per cent in volume and 6.35 per cent in value, reinforcing its dominance in India's marine products export basket, according to the Ministry of Fisheries, Animal Husbandry and Dairying.

According to an official statement, the US retained its position as the largest export destination, with imports totalling $2.32 billion. However, shipments to the US declined by 19.8 per cent in volume and 14.5 per cent in value, reflecting primarily the impact of reciprocal tariffs.

This decline was offset by robust growth in alternative markets such as China, EU and Southeast Asian countries.

Exports to China, the second-largest destination, rose 22.7 per cent in value and 20.1 per cent in volume.

The European Union posted strong gains, with exports increasing by 37.9 per cent in value and 35.2 per cent in volume.

Southeast Asia also recorded significant expansion, with growth of over 36.1 per cent and 28.2 per cent in value and volume, respectively.

""Exports to Japan grew 6.55 per cent by value, while those to West Asia showed a marginal decline of 0.55 per cent, due to the turmoil in the region during the fag end of the financial year,"" said the statement.

On the product side, exports of frozen fish, squid, cuttlefish, dried items, and live products showed positive momentum, while chilled products declined.

The export of the surimi, fishmeal and fish oil reported improved performance.

The top five ports - Vizag, JNPT, Kochi, Kolkata and Chennai - accounted for nearly 64 per cent of total export value, highlighting their continued importance in India's seafood export supply chain.

The government has initiated a series of targeted measures aimed at strengthening fisheries and aquaculture, modernising value chains and expanding seafood exports.

While the headline numbers are impressive, the decline in shipments to the US due to tariffs is a concern. It highlights our vulnerability to trade disputes. The government must work harder on securing stable trade agreements to protect this crucial sector and the livelihoods it supports.

Rs. 72,000 crore! That's a massive number. It's good to see Vizag, Kochi, and Chennai ports leading. Hope the benefits are reaching the actual fishing communities along our coasts. Sustainable practices are also key for long-term growth.

Frozen shrimp is the king, no doubt. But interesting to see growth in squid, cuttlefish, and surimi. Shows we are developing value-added products. More focus on this can create better jobs and higher margins. Jai Kisan, Jai Jawan, Jai Machhuaara!

The growth in the EU market by nearly 38% is staggering. This likely reflects adherence to their strict quality and sustainability standards. If Indian seafood can succeed there, it's a strong testament to improved quality control and processing.

As someone from a coastal state, I hope this export boom translates to better prices for local fishermen. Often, the middlemen take the lion's share. The government's measures to modernise value chains must ensure fair compensation reaches the grassroots.

We welcome thoughtful discussions from our readers. Please keep comments respectful and on-topic.",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-004,Red gold from Rajasthan powers rural success story,news.webindia123.com,https://news.webindia123.com/news/Articles/India/20260420/4441519.html,20260420T141500Z,English,India export spice,"For generations, farmers here have been growing these chillies, but today's youth are giving this legacy a fresh upgrade. By combining traditional farming with digital tools, they are transforming agriculture into a profitable venture.Bhola Ram, a young farmer, said, ""This farming has supported our family for years. Now, with better returns, we don't need to look for jobs outside.""What's changing the game is the use of social media and direct marketing. Farmers now use platforms like WhatsApp and Instagram to showcase their produce.From posting reels to sharing updates, they are connecting directly with customers and getting orders from across India--and even abroad.""We upload videos and photos, and orders start coming in. It helps us sell better and also promotes our chillies,"" Bhola Ram added.The demand for Mathania chillies is rising across the spice industry, hotels, and export markets. Their unique taste and premium quality make them stand out globally.Farmer Himmat Singh said, ""The flavour of chillies grown in this region is unmatched. That's why there is demand not just in India, but internationally as well."" With better pricing, growing demand, and smart marketing, chilli farming in Mathania is now seen as a startup-like opportunity. Rural youth are stepping in with confidence, turning farms into business hubs.From local fields to global markets, Mathania's Red Gold is proving that with the right mix of tradition, technology and innovation, India's villages can lead the next big growth story. (ANI)

For generations, farmers here have been growing these chillies, but today's youth are giving this legacy a fresh upgrade. By combining traditional farming with digital tools, they are transforming agriculture into a profitable venture.

Bhola Ram, a young farmer, said, ""This farming has supported our family for years. Now, with better returns, we don't need to look for jobs outside.""

What's changing the game is the use of social media and direct marketing. Farmers now use platforms like WhatsApp and Instagram to showcase their produce.

From posting reels to sharing updates, they are connecting directly with customers and getting orders from across India--and even abroad.

""We upload videos and photos, and orders start coming in. It helps us sell better and also promotes our chillies,"" Bhola Ram added.

The demand for Mathania chillies is rising across the spice industry, hotels, and export markets. Their unique taste and premium quality make them stand out globally.

Farmer Himmat Singh said, ""The flavour of chillies grown in this region is unmatched. That's why there is demand not just in India, but internationally as well.""

With better pricing, growing demand, and smart marketing, chilli farming in Mathania is now seen as a startup-like opportunity. Rural youth are stepping in with confidence, turning farms into business hubs.

From local fields to global markets, Mathania's Red Gold is proving that with the right mix of tradition, technology and innovation, India's villages can lead the next big growth story. (ANI)",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-005,India taps Oman to rescue $11 . 8 billion food exports to West Asia,thehindubusinessline.com,https://www.thehindubusinessline.com/economy/india-eyes-oman-reroute-to-rescue-118-billion-food-exports-to-west-asia/article70990277.ece,20260517T193000Z,English,India export spice,"Oman is emerging as an effective option in India’s rerouting strategy

Amid the prolonged conflict rattling West Asia, India is looking to Oman for continuation of its vital trade in essential foods — such as rice, meat, poultry, dairy, fruits and vegetables — with the broader region by routing shipments through Omani ports and land routes, avoiding high-risk maritime zones.

“With the Strait of Hormuz in a state of inactivity effectively blocking India’s traditional trade arteries with West Asia, New Delhi is actively exploring logistical alternatives to continue its agricultural sector exports to West Asia, estimated at about $11.8 billion annually. Oman is emerging as an effective option in India’s rerouting strategy,” a source tracking the matter told businessline.

Last week, the Agricultural and Processed Food Products Export Development Authority (APEDA) held discussions with a visiting Omani high level trade delegation,  to hammer out the operational mechanics of securing the alternative pathway.

“Oman has ports such as Sohar and Salahlah and land bridges that provide connectivity to Saudi Arabia and other GCC countries. Already some of our agriculture exports are going through this route to various markets in West Asia. But costs are high, especially land transport costs,” a source tracking the matter told businessline.

West Asia conflict hits India’s seafood exports to Gulf nations

In addition to discussions on use of the ports and land bridges to send shipments, Indian exporters also discussed ways in which costs might be brought down for land transportation in Oman as it put additional pressure on them, an industry source noted.

Gulf crisis threatens one-fifth of India’s farm exports: GTRI report

“Oman’s advantage is geographical. Unlike most Gulf countries, much of Oman’s coastline lies outside the Strait of Hormuz, directly on the Arabian Sea and Gulf of Oman. Major ports such as Port of Salalah and Port of Duqm remained accessible even as traffic through Hormuz faced disruption. The crisis has shown that Oman can serve as an alternative trade and energy corridor for India when shipping through the Strait becomes risky or unstable,” according to Ajay Srivastava from Global Trade and Research Initiative (GTRI).

The India-Oman FTA, likely to be implemented on June 1 (according to Commerce Minister Piyush Goyal), is also set to give a boost to bilateral and regional trade.

India’s exports to West Asia suffered sharp contractions in March and April 2026, primarily due to severe shipping disruptions and a blockade at the Strait of Hormuz. Commerce Secretary Rajesh Agrawal said  that India’s exports to West Asian countries fell by more than 28 per cent year-on-year to $4.16 billion in April  while imports from the region dropped 31.64 per cent to $10.47 billion.

Agricultural  produce is a major export item from India with West Asia accounting for 21.8 per cent of total  agricultural exports in FY26 with shipments valued at $11.8 billion. “Rice exports face major exposure, with $4.43 billion exported to West Asia, accounting for 36.7 per cent of India’s global rice exports,” per an analysis done by GTRI.

Spice exports are closely tied to Gulf demand, with 70.5 per cent of nutmeg, mace and cardamom exports going to the region. Additionally, about 98.9 per cent of sheep and goat meat and 97.4 per cent of fresh beef exports shipped to West Asia.

Dairy and beverages also rely heavily on Gulf markets, including 58.1 per cent of butter exports and 81 per cent of beer exports, according to GTRI.

Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments.

We have migrated to a new commenting platform. If you are already a registered user of TheHindu Businessline and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.

Terms & conditions  |  Institutional Subscriber",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-006,Lakadong turmeric : The story of India  Golden Spice  from Meghalaya that reached the global stage with G7 gift,timesofindia.indiatimes.com,https://timesofindia.indiatimes.com/etimes/trending/lakadong-turmeric-the-story-of-indias-golden-spice-from-meghalaya-that-reached-the-global-stage-with-g7-gift/articleshow/131927720.cms,20260623T071500Z,English,India export spice,"The TOI Lifestyle Desk is a dynamic team of dedicated journalists who, with unwavering passion and commitment, sift through the pulse of the nation to curate a vibrant tapestry of lifestyle news for The Times of India readers. At the TOI Lifestyle Desk, we go beyond the obvious, delving into the extraordinary. Consider us your lifestyle companion, providing a daily dose of inspiration and information. Whether you're seeking the latest fashion trends, travel escapades, culinary delights, or wellness tips, the TOI Lifestyle Desk is your one-stop destination for an enriching lifestyle experience.Read More",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-007,FM Sitharaman inaugurates northeast largest organic spice processing unit,prokerala.com,https://www.prokerala.com/news/articles/a1777361.html,20260619T094500Z,English,India export spice,"New Delhi, June 19 : Finance Minister Nirmala Sitharaman inaugurated the northeast's largest organic spice processing unit at Bhoirymbong in Meghalaya's Ri-Bhoi district on Friday, in the presence of Meghalaya Chief Minister Conrad Sangma and Sikkim Chief Minister P.S. Tamang Golay.

The facility has been established under the Eastern Ri-Bhoi Organic Farmer Producer Company (FPC), a farmer-owned enterprise promoted under the Government of Indiaâ€™s scheme -- Mission Organic Value Chain Development for North Eastern Region (MOVCD-NER).

The facility is the first organically certified spice processing unit in the northeast and is expected to become a landmark institution for the organic agriculture sector in the region. It can process more than 10,000 metric tonnes of high-value organic spices annually, including ginger, turmeric, black pepper and chilli, according to FM Sitharaman.

Eastern Ri-Bhoi Organic FPC has developed infrastructure including collection and aggregation centres, processing facilities, cold storage, vermicompost units, hiring centres and transportation facilities.

The unit is certified under the National Programme for Organic Production (NPOP) and EU Organic Standards, enabling direct access to premium domestic and international organic markets.

The processing facility is expected to directly benefit approximately 5,500 organic farmers across Meghalaya and the northeastern region by enhancing value addition and processing of organic produce, reducing post-harvest losses through modern storage and processing infrastructure and strengthening aggregation and quality control mechanisms, an official statement said.

Besides, it will providing direct linkages with national and international buyers which will fetch better prices for farmers through reduced dependence on intermediaries. It will also create local employment opportunities in processing, packaging and logistics and promote exports of certified organic products from the North East, the statement added.

Meanwhile, the Indiaâ€""European Union Free Trade Agreement (FTA) is expected to significantly enhance export opportunities for Indian spices, with improved market access, regulatory cooperation, and greater trade predictability likely to benefit exporters, farmers, and MSMEs across the value chain, according to the Spices Board India.

The EU remains one of the most high-value and tightly regulated markets for Indian spices, accounting for a substantial share of premium exports.

Officials said the trade agreement, once operationalised, could help Indian exporters navigate non-tariff barriers more efficiently, align compliance standards and improve realisation through value-added products.

Aamir Khan, Mammootty, 'Kantara: A Legend - Chapter 1' nominated at 17th edition of IFFM

Sylvester Stallone reflects on 'Rocky': Wasn't just writing about one fighter

Motorola Unveils Moto g77 Power in India - Packs 7000 mAh Battery, Sony LYTIA 600 Camera

Chief Minister Yogi to launch 'Mukhyamantri Shikshak Cashless Chikitsa Suvidha Yojana' from Varanasi on Wednesday

Yogi govt to plant more than 3.83 crore saplings along the banks of 13 major rivers

Yogi Government adopting advanced technology to curb crime, providing training to officials",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-008,"How to Start a Business in India : Registration , GST , Licenses & Costs Guide",dailypioneer.com,https://dailypioneer.com/news/how-to-start-a-business-in-india-registration-licenses-gst--amp--costs-explained,20260626T143000Z,English,India export spice,"Starting a business in India has never been more exciting. With a growing digital economy, a thriving startup ecosystem, and easier access to online government services, entrepreneurs today have more opportunities than ever to turn their ideas into successful ventures.

Whether you're launching a tech startup, an online brand, a consulting firm, or a local business, understanding these requirements can help you avoid delays and build a strong foundation from day one.

In this guide, we walk you through the key steps involved in starting a business in India, including choosing the right business structure, completing registrations, understanding GST requirements, obtaining necessary licenses, and estimating the costs involved in getting your business up and running.

Step 1: Select the Right Legal Structure

Your choice of business structure defines your legal identity, tax rates, and personal liability. In India, founders generally choose from the following popular options:

Private Limited Company (Pvt Ltd)

This is the gold standard for high-growth startups and tech ventures. It requires a minimum of 2 directors and 2 shareholders.

Limited Liability Partnership (LLP)

A hybrid model combining the operational freedom of a traditional partnership with the limited liability benefits of a corporation.

One Person Company (OPC) or Sole Proprietorship

Step 2: Navigate the Company Registration Process

For corporate setups (Pvt Ltd, LLP, and OPC), the registration process is completely digitised through the MCA's V3 portal. If you are pursuing a private limited company registration, the process generally involves:

Step 3: Understand GST and Tax Registrations

The Goods and Services Tax (GST) is India’s unified indirect tax system. Registering for GST is mandatory if your business meets any of the following triggers:

Even if you don’t meet these thresholds, obtaining a voluntary GST registration is highly recommended. It allows you to claim Input Tax Credit (ITC) on business purchases and establishes greater corporate trust with enterprise clients.

Step 4: Obtain Essential Municipal and Operational Licenses

Beyond basic corporate registration, your business must comply with local, state, and industry-specific regulations:

Step 5: Startup Incorporation and Compliance Costs Explained

Starting a business involves both one-time setup fees and recurring compliance costs. Here is a realistic cost estimate for a private limited structure:

Private limited company registration (DSC, DIN, MCA Fees, Stamp Duty)

₹6,000 to ₹15,000 (depends on capital)

GST, Udyam, & Shops & Establishment Setup

Corporate Bank Account Opening & Auditor Appointment

Mandatory Statutory Audit & IT Filing

Note: Government fees for registration vary depending on your authorised share capital and the state in which your registered office resides.

Laying the proper legal foundation is the first true victory for any new business owner. Taking the time to execute your private limited company registration correctly, secure your local operational licenses, and organise your initial compliance structures ensures your startup is built to scale safely.

Rather than coordinating with multiple fragmented legal intermediaries, modern founders utilise unified digital platforms. Platforms like Razorpay Rize simplify your launch by coordinating your company registration and compliance documentation in one seamless flow, helping you build your venture on an airtight, growth-ready foundation right from day one.

Your ad could be here. Contact us for advertising opportunities.

Get the latest news delivered directly to your inbox.",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-009,How to make a good quick chicken curry,theage.com.au,https://www.theage.com.au/goodfood/tips-and-advice/this-ingredient-will-change-the-way-you-make-a-quick-chicken-curry-forever-20260327-p5zj72.html,20260514T201500Z,English,India export spice,"Chicken is Australia’s most cooked meat. And chicken curry is India’s best-loved export. Put the two together and you get a meal good enough to bring back the family dinner.

Across India’s regions, the iterations are vast. But no matter the variation – from Kashmir’s kokur rogan josh to Tamil Nadu’s Chicken Chettinad – what they all have in common is a dedicated approach to maximising deliciousness.

Here are some quick tips to take your chicken curry efforts from ho-hum to wow-yum.

Forget skinless and boneless. The chicken “curry cut” is the cut-to-order gold standard among Indian butchers. The curry cut means chopping the chicken into pieces, keeping the skin and bone intact. So a leg might be cut into three horizontally, while the thigh might be quartered.

The best recipes from Australia's leading chefs straight to your inbox.

The reason for the curry cut is twofold. One, it eliminates waste: the whole chicken is chopped up for use. And two, you’re getting maximum flavour and cooking convenience: the pieces are small enough to cook quickly, and with the skin and the bone retained, all the texture and taste of the bird funnels into the dish.

Introducing your own butcher to the “curry cut” means your curry is off to a much better start. If you’re a supermarket meat buyer, invest in a heavy cleaver and keep your fingers out of blade range.

Use mustard oil once, and I can guarantee it will be the start of a life-long love affair with this, the king of Indian fats. Mustard oil is made from pressed mustard seeds. Once impossible to find in Australia, it’s since become a regular on major supermarket shelves right by the pickles and the pappadum. Mustard oil’s superpower is that its intense wasabi-like aroma penetrates the chicken meat, while its heavy viscosity ensures any spice used will really stick.

I use mustard oil for every chicken dish I make, from cacciatore to my dad’s famous Kashmiri chicken curry. Start your curry with two tablespoons of mustard oil for 700 grams of chicken, browning the meat on high heat until the outside is a little caramelised. Add your spices, then the tomato or coconut milk base, and step into a new world of flavour.

Yes, it’s possible. This is a combination of stir-fry and high-heat cooking, Indian-style. Start with the curry cut, mustard oil and a heavy-based wok or pot. Add a few tablespoons of mustard oil and set to very high heat. Once it reaches smoking point, toss in your chicken pieces with some salt and a little whole spice – a cinnamon stick, a few bay leaves and some cloves, if you have them handy.

Continue to cook over high heat for a few minutes before adding 1 teaspoon of chilli powder stirred through 3 to 4 tablespoons of water, deglazing the vessel and taking a little heat out of the cook.

Toss in some diced tomato, add the masala (see below), and cook for a minute or two, until the aroma develops and the spices are no longer raw. Return your browned curry-cut chicken to the pan and cook for 20 minutes or until cookedthrough. You can finish the dish by stirring through some fresh spinach or cooked peas. Serve with white rice.

In this context, masala means a collection of spices used together. With a recipe like this, where time and convenience are factors, there’s no need to stage the spicing. Everything can go in at once, at the beginning of the cook. The key is to heat the mustard oil, then toss in chopped tomatoes, yoghurt or coconut milk as a curry base before adding the spices – the liquid addition protects them from burning in the oil.

Combine the spices in a katori or small bowl and keep it within reach by the stovetop so you can add it to the pan once you’ve browned the chicken.

You have reached your maximum number of saved items.

Remove items from your saved list to add more.",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
B-GD-010,Meghalaya Nuggets | The Shillong Times,theshillongtimes.com,https://theshillongtimes.com/2026/05/16/meghalaya-nuggets-626/,20260516T014500Z,English,India export spice,"Symposium on plasma-based waste management begins
SHILLONG, May 15: A two-day national symposium exploring the use of plasma physics for sustainable waste management and conservation commenced at Sankardev College on Wednesday, bringing together scientists, environmental experts and policymakers. The event is organised by the college’s Departments of Physics, Environmental Science, Botany and IQAC, in collaboration with the Meghalaya State Pollution Control Board (MSPCB). MSPCB Chairman R. Nainamalai attended the inaugural session as the chief guest, while Member Secretary GH Chyrmang delivered the keynote address. During the event, principal Eureka FP Lyngdoh welcomed the participants, who included environmental engineers, health officials and researchers from various medical and academic institutions. The symposium features technical sessions led by prominent resource persons, including Nirav Ishwalal Jamnapara, Bharat Kakati and Ngangom Aomoa. A panel discussion involving experts from the Central Pollution Control Board (CPCB), the state Health Department and the MSPCB focused on scientific waste disposal strategies under the Solid Waste Management Rules 2026. It may be mentioned that the programme aims to bridge the gap between scientific research and practical application, with a specific focus on plasma pyrolysis technology. Organisers have, meanwhile, noted that the initiative seeks to promote waste-to-energy solutions and support the circular economy through advanced biomedical and solid waste treatment methods.

Shillong student secures 7th rank in Commerce after result rectification
SHILLONG, May 15: Laban Bengalee Boys’ Higher Secondary School student, Ritesh Chettri, has been placed 7th in the Commerce stream merit list of the HSSLC examinations after a technical error in his initial result was rectified. According to a statement here, Ritesh also secured the highest marks in Economics in the Commerce stream. With the correction, Laban Bengalee Boys’ Higher Secondary School has now secured a total of five positions in the state merit lists—5th, 6th and 7th in Commerce, and 3rd and 5th in the Science stream.

IFAD delegation lauds state’s agri potential
SHILLONG, May 15: A high-level delegation from the International Fund for Agricultural Development (IFAD) began a two-day field visit to Ri-Bhoi district on Wednesday to review community-led initiatives under the Meghalaya Livelihoods and Access to Markets Project (Megha-LAMP). The delegation includes IFAD Associate vice-president Dr. Donal Brown, Regional Director for Asia and the Pacific Reehana Raza, and Country Director for IFAD India, James Mach Dsousa Shield. The visit focuses on inspecting farmer collectives, processing units, and grassroots institutions supported by the project. Speaking during the visit, Dr. Brown noted that while Meghalaya is geographically remote, it possesses significant potential for high-value agricultural products. He then praised the quality of native crops such as turmeric, black pepper, cashews, and pineapples, but emphasised that presentation is vital for entering international markets. “If you’re looking to export to other parts of India, to urban centers like Delhi, or to export markets like the Middle East or Europe, it’s not just the quality of the product, it’s the branding and the packaging. It’s got to look attractive, and you’ve got some really good branding. I look at the packaging and I think, ‘this must be good,’ even before I’ve tasted the product,” Dr. Brown remarked. On the first day, the team visited the Integrated Village Cooperative Society (IVCS) and Collective Marketing Centre (CMC) in Umwang to interact with local farmers. They also inspected the upcoming Organic Spice Unit in Bhoirymbong, which is set to become the largest organic spice industrial facility in the Northeast. Reehana Raza highlighted the two-decade partnership between IFAD and Meghalaya, stating that long-term collaboration is essential for sustainable investment in smallholder farming. She expressed satisfaction with the advancements made by local communities across different project phases.

Dorbar felicitates meritorious Ri-Bhoi student
NONGPOH, May 15: The Dorbar Shnong of Umdohbyrthih on Thursday felicitated Daiakmen I Ka Talang for securing the 20th position in the SSLC examination results declared by the Meghalaya Board of School Education (MBoSE). Talang, a student of Ferrando Higher Secondary School, secured the rank with a total of 555 marks. She earned letter marks in English, Mathematics, Science and Technology, Social Science, Health and Physical Education, and Khasi. Talang is now set to pursue her higher secondary education in the Science stream at Kendriya Vidyalaya NEHU, Shillong. It is pertinent to note that her academic success is particularly significant given the series of personal tragedies she faced. In 2023, she lost her father in a road accident, and shortly after, her family’s home was destroyed in a fire. Despite these financial and emotional setbacks, Talang remained focused on her studies. Addressing the gathering, Talang expressed gratitude to her teachers and family for their unwavering support. She urged fellow students to remain determined in the face of adversity. “Do not lose hope; persevere to achieve your goals,” she said, adding that she hopes her success encourages more students from the area to excel. The felicitation programme was attended by headman PB Sylliang, village secretary TB Sun and the Headmistress of Landmark Secondary School, E. Sylliang, along with residents and students. Describing Talang as an inspiration, the village leaders said that her achievement proves that difficult family circumstances and poverty cannot hinder those with the will to succeed. They remarked that Talang’s success has brought immense pride to the entire village.

Pension Adalat held in Jowai to settle pending cases
JOWAI, May 15: The Office of the Accountant General (A&E), Meghalaya, in collaboration with the Finance (Pension Cell) Department, organised a Pension Adalat on Thursday at the Deputy Commissioner’s office in Jowai. The initiative focused on resolving long-pending pension cases from state government offices across West Jaintia Hills and East Jaintia Hills. Senior Deputy Accountant General Rupak Saha described the Adalat as a proactive measure to ensure the timely resolution of grievances. He urged Drawing and Disbursing Officers (DDOs) to utilise the ‘e-Pension Portal’, launched in January 2026, to ensure that pension cases are submitted online in a complete and structured format. During the session, pending cases were reviewed individually. Officials noted that many delays were primarily due to missing documents and forms that pensioners had failed to submit during their actual service period.

Stay connected with us on our social media platforms for latest news, updates and promotions.

Since 1945, The Shillong Times has evolved from a weekly tabloid to a prominent daily, launching regional editions and embracing technological advances, consistently delivering news that matters to Meghalaya and beyond.

© 2026 The Shillong Times. All Rights Reserved | Crafted with IndoAge",None (Generalized MSMEs),N/A - No Firm Mentioned,N/A,2026-07-08,not-applicable,MSME-instance (target population under study)
