doc_id,corpus_tier,source_name_instrument_body,title_url_query,retrieval_date_format_language,production_context,dqa_context_score,dqa_content_score,full_text_available,locus_tag,verification_logic,deident_status,access_status_notes
B-YT-001,B,YouTube / CA M F Khan – Export & Global Tax Expert (Public Practitioner Forum),https://www.youtube.com/watch?v=Unpc8tdX0SI,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'DGFT portal error export shipment stopped' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-dgft-portal-hurdles,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-002,B,YouTube / Directorate General of Foreign Trade (Public Practitioner Forum),https://www.youtube.com/watch?v=5tDlf7o52xo,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'DGFT portal error export shipment stopped' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-dgft-portal-hurdles,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-003,B,YouTube / Kalp Shah GST and Export Import Classes (Public Practitioner Forum),https://www.youtube.com/watch?v=91Y3XCH9H-s,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'DGFT portal error export shipment stopped' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-dgft-portal-hurdles,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-004,B,YouTube / CA M F Khan – Export & Global Tax Expert (Public Practitioner Forum),https://www.youtube.com/watch?v=edEeOFFJcHI,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'DGFT portal error export shipment stopped' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-dgft-portal-hurdles,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-005,B,YouTube / TAXAJ (Public Practitioner Forum),https://www.youtube.com/watch?v=SrUtyKASWB8,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'How to update IEC code online mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-iec-annual-renewal,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-006,B,YouTube / Paresh Solanki-International Export Import Trainer (Public Practitioner Forum),https://www.youtube.com/watch?v=Oclfce913tI,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'How to update IEC code online mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-iec-annual-renewal,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-007,B,YouTube / Study with DY Official  (Public Practitioner Forum),https://www.youtube.com/watch?v=2YxC2Htl068,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'How to update IEC code online mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-iec-annual-renewal,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-008,B,YouTube / Directorate General of Foreign Trade (Public Practitioner Forum),https://www.youtube.com/watch?v=B5zrx5k8QC4,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'How to update IEC code online mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-iec-annual-renewal,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-009,B,YouTube / Rohit’s Divine Journey  (Public Practitioner Forum),https://www.youtube.com/watch?v=UE9Zk127J70,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'How to update IEC code online mandatory' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-iec-annual-renewal,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
B-YT-010,B,YouTube / Give2knw (Public Practitioner Forum),https://www.youtube.com/watch?v=ODZjUYuX7HQ,"2026-07-06 / json,csv,txt / English",Corpus B practitioner discourse & lived hurdles: Authentic YouTube comments on 'APEDA RCMC linking with IEC code MSME' (Section 6.2 DQA passed; transcripts excluded; author handles de-identified per Section 11),"A,A,A,A,A,A","A,A,A,A,A,A",yes (de-identified),youtube-apeda-rcmc-linking,practitioner-lived-hurdles (internal & relational friction),de-identified (handles/names removed per Section 11),retrieved (HTTP 200 / Section 6.2 DQA passed)
