tag_type,free_text_value,canonical_bucket,justification
locus_tag,corporate-sustainability-directive,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,eudr-geotagging-advisory,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,inductive-other,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,informational-verifiability,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,institutional-voids,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,internal-capability,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,relational-power,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,schedule-vii-agribusiness-spending,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,section-135-statutory-spending,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
locus_tag,zero-deforestation-due-diligence,Cross-Cutting & Institutional Governance,Mapped via domain keyword boundaries to 4-Locus Grid
verification_logic,catch-legality-aquaculture,Facility Audit & Hygiene Standards,Mapped via regulatory inspection/testing/traceability mechanism to 5-Logic Grid
verification_logic,facility-and-process,Facility Audit & Hygiene Standards,Mapped via regulatory inspection/testing/traceability mechanism to 5-Logic Grid
verification_logic,land-use-geolocation,Facility Audit & Hygiene Standards,Mapped via regulatory inspection/testing/traceability mechanism to 5-Logic Grid
verification_logic,not-applicable,Facility Audit & Hygiene Standards,Mapped via regulatory inspection/testing/traceability mechanism to 5-Logic Grid
verification_logic,residue-and-mrl,Laboratory Testing & Residue Assays,Mapped via regulatory inspection/testing/traceability mechanism to 5-Logic Grid
