Topic,Top_Keywords,Notes,locus_primary,locus_secondary
0,"supply, chain, al, supply chain, et, data, food, management, journal, research","Peer-reviewed literature (journals: Sustainable Production and Consumption, Frontiers in Sust. Food Systems, J. Purchasing & Supply Mgmt) on digital-technology barriers in food supply chains, blockchain/IoT traceability, modern-slavery monitoring tech, AFSC resilience. Genuinely coherent academic topic, but commodity_group/activity_channel labels are near-meaningless here (100% default fallback) because academic papers don't carry locus_tag/verification_logic metadata the way institutional circulars do -- treat those two columns as uninformative for this topic specifically.",digital-traceability-system,sustainability-reporting
1,"eu, mpeda, export, products, ex, aquaculture, official, spices, inspection, regulation","Reads as the core RQ2 topic: EIC consignment-wise spice inspection protocol for EU (Reg. 2019/1793), EU DG SANTE aquaculture residue-monitoring audit, RASFF notifications, MRLs for ETO/aflatoxin/chloramphenicol. This is the clearest institutional_pillar-Spices Board/EIC + logic=Laboratory Testing cluster in the corpus -- strong candidate for the spices-residue and marine-catch verification-logic cells in your original framework.",spices-consignment-inspection,marine-catch-verification
2,"author, user, sir, iec, hurdles, comment, practitioner, discourse, details, code","100% YouTube video descriptions + de-identified comment threads on DGFT IEC portal / APEDA registration tutorials. Genuine, coherent 'lived hurdles' cluster: pin-code fields, GST sync failures, DSC/OTP issues, director-detail update failures. Highest digital_system_flag rate of any substantive topic -- this is your best single source for RQ3's practitioner-experience angle on digital export-system friction.",digital-export-services,dgft-exim-licensing-integration
3,"tea, nepal, said, india, indian, cardamom, export, percent, exports, crore","CAVEAT: India imposing mandatory lab testing on Nepali tea imports at the land border. This is a genuine non-tariff-barrier dynamic, but the counterpart is Nepal, which is NOT one of RQ2's named bilateral partners (EU DG SANTE / US FDA-NOAA / Japan MHLW). Reads more naturally as India's own testing-regime institutional behavior (RQ1) manifesting outward, or as a boundary case suggesting RQ2's scope could be broadened. Flagging rather than force-fitting.",phytosanitary-and-pesticide-mrl-screening,tea-export-governance
4,"export, agricultural, mangoes, apeda, district, said, processed food, food products, processed, products","APEDA-facilitated mango export success stories (Jharkhand tribal-women FPCs to Dubai, Banganapalle mangoes to Singapore). Positive-news-release pattern -- useful for RQ1 institutional-convergence narrative and touches RQ4's MSME/inclusion angle, but skews toward promotional/announcement framing rather than barrier-identification.",fresh-produce-hortinet,apeda-institutional-facilitation
5,"rice, tonnes, cotton, said, lakh, comments, government, industry, exports, basmati","Domestic rice-industry infrastructure demands (single-window clearance, Rice Industry Development Board) plus a China GM-contamination rice-import barrier thread. Same scope caveat as Topic 3: China isn't a named RQ2 counterpart. Strong rice-baseline verification-logic candidate for your 5x4 grid regardless of RQ label.",cereals-export-protocol,single-window-clearance
6,"apeda, products, profile, organic, download, cereals, fruits, processed, india, pdf download","APEDA product-catalog and NPOP organic-certification pages. Clean, coherent, 100% Corpus A institutional topic. The EU/Switzerland equivalence-recognition mechanism for NPOP-certified organic products is a genuine RQ2 touchpoint worth citing.",organic-export-governance,npop-equivalence-and-coi-validation
7,"fisheries, seafood, exports, minister, value, value addition, shrimp, indias, global, andhra","Ministerial 'Blue Economy' / value-addition speeches (Piyush Goyal, Andhra Pradesh CM, Fisheries Minister) at a seafood-export workshop. Clean marine-catch verification-logic candidate for the grid; skews toward policy-rhetoric rather than firm-level barrier evidence.",marine-aquaculture-policy,seafood-value-addition
10,"news, comments, highest, india, business, doing business, doing, english, click, new -- NOTE: does not match actual dominant content, see notes","The actual document content is EU Directive 2013/34/EU sustainability-reporting/assurance legal text (CSRD-adjacent -- audit committee duties, EFRAG standard-setting, assurance engagements). The auto-generated topic name and top-10 keyword list are misleading here (likely pulled from a small number of off-theme documents in the c-TF-IDF weighting) -- go by the institutional_pillar/content read, not the BERTopic label, when writing this one up.",sustainability-reporting,corporate-sustainability-due-diligence
11,"shall, food, meat, storage, water, used, materials, temperature, license, kept","FSSAI Gazette meat-processing/slaughterhouse hygiene and facility-hygiene standards. Cleanest, most internally-consistent topic in the corpus (100% single institutional_pillar, 100% single activity_channel).",animal-products-governance,abattoir-haccp-and-ante-mortem-inspection
12,"cent, value, exports, volume, export, growth, seafood, cent value, billion, total export",MPEDA seafood export statistics with explicit US-tariff-driven decline narrative and China/EU/Southeast Asia diversification. Smallest substantive topic (n=10) but a clean RQ1/RQ2 dual case -- good illustrative example of tariff-driven market realignment.,marine-export-performance,us-tariff-impact
