doc_id,source_tier,title,assigned_cluster_id,cluster_name,primary_keywords,cluster_description,locus_tag
B-GD-001,GDELT Trade News,Indian spice exporters face stringent EU DG SANTE ethylene oxide screening at ports,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-002,GDELT Trade News,US FDA import alerts on Indian shrimp consignments over antibiotic residue and salmonella,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-003,GDELT Trade News,DGFT ICEGATE portal glitches delay export shipping bill filing for food processors,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-004,GDELT Trade News,EUDR deforestation regulations impose severe GPS geotagging burden on Indian coffee and cocoa growers,3,EUDR Deforestation & Geolocation Mapping Burdens,"eudr, deforestation, traceability, polygon, gps, geolocation",Plot-level GPS polygon mapping and traceability mandates imposed by European Union Deforestation Regulation.,gdelt-msme-trade-friction
B-GD-005,GDELT Trade News,Basmati rice exports to European Union hit by strict tricyclazole MRL enforcement,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-006,GDELT Trade News,RoDTEP scheme reimbursement delays and tax audit scrutiny create working capital crunch for MSMEs,4,RoDTEP Reimbursement Delays & Working Capital Deficit,"rodtep, scrip, reimbursement, export duty, customs, delay",Prolonged delays in duty remission scrip issuance eroding liquidity and cash flow for small agricultural exporters.,gdelt-msme-trade-friction
B-GD-007,GDELT Trade News,Mandatory APEDA RCMC linking with IEC code triggers portal login failures for new agri-exporters,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-008,GDELT Trade News,US FDA FSVP audit compliance creates prohibitive cost barrier for Indian organic food exporters,2,US FDA Import Alerts & Veterinary Drug Scrutiny,"fda, import alert, 16-12, 16-81, 16-35, chloramphenicol",Detention Without Physical Examination (DWPE) and intensive screening of marine shrimp consignments by US FDA.,gdelt-msme-trade-friction
B-GD-009,GDELT Trade News,EU IUU fishing catch certificate rules delay Indian marine product clearances in Spanish and Italian ports,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-010,GDELT Trade News,Spices Board enforces mandatory sampling and testing for ethylene oxide and pesticide residues in EU exports,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-011,GDELT Trade News,Indian spices exporters hit by portal freeze and DSC error amid strict EU DG SANTE and US FDA scrutiny,1,DGFT / ICEGATE Portal Glitches & KYC Friction,"dgft, icegate, iec, rcmc, error, e-104",Technical server timeouts and database mismatch errors on statutory trade portals halting shipping bill generation.,gdelt-msme-trade-friction
B-GD-012,GDELT Trade News,Indian spices exporters hit by laboratory testing bottleneck amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-013,GDELT Trade News,Indian spices exporters hit by border rejection and DWPE alert amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-014,GDELT Trade News,Indian spices exporters hit by traceability and geotagging hurdle amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
B-GD-015,GDELT Trade News,Indian spices exporters hit by audit scrutiny and scrip delay amid strict EU DG SANTE and US FDA scrutiny,0,EU SPS & RASFF Border Rejections,"ethylene oxide, eto, aflatoxin, mrl, residue, rasff",Stringent EU border sampling and Maximum Residue Limit (MRL) enforcement on Indian spices and marine aquaculture.,gdelt-msme-trade-friction
