doc_id,corpus_tier,source_name_instrument_body,title_url_query,retrieval_date_format_language,production_context,dqa_context_score,dqa_content_score,full_text_available,locus_tag,source_topic_tag,verification_logic,deident_status,access_status_notes,firm_mentioned,iec_verification_status,verification_method,verification_date,relevance_to_study,corpus_role,enterprise_scale_tier,scale_evidence,hurdle_scale_coupled,publication_date,dqa_content_notes
A-APEDA-001,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Official Portal Root & Export Governance Overview,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,third-party-accreditation-and-farm-inspection,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-002,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/ProcessedFoods,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Processed Foods & Value-Added Export Portal,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,plant-hygiene-and-haccp-compliance,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-004,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/TraceNet,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA TraceNet Traceability System Portal,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,farm-to-port-batch-geotagging,land-use-geolocation,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-005,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/OrganicProducts,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: Organicproducts,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,npop-equivalence-and-coi-validation,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-007,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/Cereals,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Cereals Export Sector Profile & Export Protocols,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,phytosanitary-and-pesticide-mrl-screening,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-008,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/FreshFruitsAndVegetables,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Fresh Fruits & Vegetables Sector Governance,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,packhouse-recognition-and-orchard-registration,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-009,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/AnimalProducts,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Animal Products & Meat Quality Governance,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,abattoir-haccp-and-ante-mortem-inspection,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-APEDA-010,A,APEDA Official Portal / AgriExchange,https://apeda.gov.in/FloricultureAndSeeds,2026-07-03 / html / English,Statutory export document scraped from APEDA portal: APEDA Floriculture & Seeds Export Framework,"A,A,A,A,A,A","A,A,A,A,A,A",yes,relational-power,cold-chain-maintenance-and-quarantine-clearance,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-001,A,Spices Board Ministry of Commerce & Industry,https://indianspices.org.in/ESS/,2026-07-03 / html / English,Statutory spices export circular / notice: Spices Board Exporter Service System (ESS) Digital Certification Procedures,"A,A,A,A,A,A","A,A,A,A,A,A",yes,institutional-voids,ess-online-certificate-and-sampling-request,not-applicable,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
A-SPICE-002,A,Spices Board Ministry of Commerce & Industry,https://indianspices.com/indianspices/sites/default/files/Trade%20advisory%20Compliance%20with%20Taiwan%20Pesticide%20Residue%20Standards%20160426.pdf,2026-07-03 / pdf / English,Statutory spices export circular / notice: Trade%20Advisory%20Compliance%20With%20Taiwan%20Pesticide%20Residue%20Standards%20160426,"A,A,A,A,A,A","A,A,A,A,A,A",yes,inductive-other,statutory-spices-board-licensing-verification,residue-and-mrl,not-required,retrieved (HTTP 200),N/A - Corpus A Statutory Instrument,Verified - Institutional Source,Official Gazette / Regulatory Portal Check,2026-07-07,statutory-governance-framework (macro-level regulatory context),,N/A (Corpus A),,,,
