video_id,title,channel,publish_date,description,query_used,ethics_clearance,deidentification_status
Unpc8tdX0SI,Error in E-BRC and E-BRC Cancellation | ebrc self generation process in dgft | #export,CA M F Khan – Export & Global Tax Expert,2024-09-17T12:39:21Z,Error in E-BRC and E-BRC Cancellation | ebrc self generation process in dgft | #export your queries ebrc Cancellation IRM ebrc ...,DGFT portal error export shipment stopped,approved,applied (author handles/names masked)
5tDlf7o52xo,Demo on How to Apply for a new Advance Authorisation on the DGFT e-Platform,Directorate General of Foreign Trade,2020-12-11T06:26:21Z,This video is developed by the Directorate General of Foreign Trade to guide exporters on how to apply for a new authorisation ...,DGFT portal error export shipment stopped,approved,applied (author handles/names masked)
91Y3XCH9H-s,IEC DSC settings on DGFT Website - Digital signature troubleshooting for IEC Code DGFT,Kalp Shah GST and Export Import Classes,2020-11-18T15:52:52Z,,DGFT portal error export shipment stopped,approved,applied (author handles/names masked)
edEeOFFJcHI,"GST Refund is stuck, due to EGM not filed | Understanding about Export General Manifest | #export",CA M F Khan – Export & Global Tax Expert,2025-03-06T11:03:42Z,"GST Refund is stuck, due to EGM not filed | Understanding about Export General Manifest | #export Is your GST refund delayed ...",DGFT portal error export shipment stopped,approved,applied (author handles/names masked)
p-0-_8ESQTg,"Only 17 Days Left to Save Your IEC from Auto-Deactivation, IEC Annaul Update, Save ur IEC",kireeti consultants,2026-06-13T13:20:12Z,"If your business imports or exports from India, this is critical. Every IEC holder must complete the mandatory Annual IEC Update on ...",DGFT portal error export shipment stopped,approved,applied (author handles/names masked)
SrUtyKASWB8,How To Renew or Update Import Export Code Online | Modify Your IEC Code Online in Minutes Yourself,TAXAJ,2023-08-30T12:30:26Z,Join this channel to get access to perks: https://www.youtube.com/channel/UCXGzsCVka1oVQCQga4yj3Lw/join Today in this ...,How to update IEC code online mandatory,approved,applied (author handles/names masked)
Oclfce913tI,How to Update your IEC Code from DGFT,Paresh Solanki-International Export Import Trainer,2024-05-26T03:30:06Z,If you are an exporter then it is important for you to keep your IEC Code Updated from DGFT. IEC Code is very important in Export ...,How to update IEC code online mandatory,approved,applied (author handles/names masked)
2YxC2Htl068,Import Export code update or modify online | update IEC online 2025 | Modify IEC code online ,Study with DY Official ,2025-10-24T09:00:04Z,In this video we will see how to update or modify import export code from dgft site. Is video me hum dekhenge ki kis tarike se hum ...,How to update IEC code online mandatory,approved,applied (author handles/names masked)
B5zrx5k8QC4,Easy Steps for Updating the Importer-Exporter Code(IEC),Directorate General of Foreign Trade,2021-04-08T08:43:06Z,This video is provided by the Directorate General of Foreign Trade as a step by step guide for Importers and Exporters for ...,How to update IEC code online mandatory,approved,applied (author handles/names masked)
UE9Zk127J70,"IEC renew, update, or modify (Importer-Exporter Code), need to visit DGFT website",Rohit’s Divine Journey ,2025-05-07T17:09:46Z,"IEC renew, update, or modify your IEC (Importer-Exporter Code), you'll need to visit the DGFT (Director General of Foreign Trade) ...",How to update IEC code online mandatory,approved,applied (author handles/names masked)
